property_id,property_name,host_id,neighbourhood_group,room_type,price,min_nights
19843409,artist apartment in the center of the city,140276082,Mitte,Entire home/apt,80,4
19843597,Student room with balcony in the Berlin Wedding ;),54900115,Mitte,Private room,18,5
19843954,Wohnung mit Balkon in Neukölln,140276377,Neukölln,Private room,70,4
19844167,Cosy apartment in Berlin Adlershof,7819153,Treptow - Köpenick,Entire home/apt,29,14
19844211,Gemütliche einfache Einraumwohnung in Kreuzkölln,65618960,Friedrichshain-Kreuzberg,Private room,55,3
19844846,Wonderfully light luxurious apartment,70019260,Pankow,Entire home/apt,99,1
19845208,Studio Apartment Zwischen Spree und Wuhlheide,64328126,Treptow - Köpenick,Entire home/apt,27,1
19845630,Altbauzimmer im Kiez,133528978,Tempelhof - Schöneberg,Private room,25,1
19849947,Minimalist Studio with Balcony,5856992,Pankow,Private room,60,2
19850352,Nice Neukölln WG,33575092,Neukölln,Private room,25,3
19850820,Schönes Zimmer im Altbau mit eigenem Balkon,47080687,Tempelhof - Schöneberg,Private room,30,2
19851369,House of Realness- big room in colourful Kreuzberg,36382515,Friedrichshain-Kreuzberg,Private room,53,2
19853003,,140383163,Pankow,Private room,35,3
19853401,Great bright room in Friedrichshain,140385318,Friedrichshain-Kreuzberg,Private room,40,3
19853561,Prenzlauer Berg Central,10112027,Pankow,Private room,45,2
19855210,"Central! Mitte close to Berlin Wall, Alexanderpl",21617192,Mitte,Private room,44,7
19855798,Lovely apartment in the middle of prenzlauer berg,25732827,Pankow,Entire home/apt,65,2
19855813,"Lovely,cozy,comfortable apartment in west Berlin",14191654,Mitte,Entire home/apt,50,1
19856481,Zentrale 1-Zimmerwohnung mit Balkon im Güntzelkiez,42840062,Charlottenburg-Wilm.,Entire home/apt,60,2
19857169,2-Zimmer Wohnung in bester Waldlage,40871414,Steglitz - Zehlendorf,Entire home/apt,32,7
19860818,Neues Apartment in zentral ruhiger Lage,1210739,Marzahn - Hellersdorf,Entire home/apt,110,3
19861136,Neues modernes Comfort Apartment in ruhiger Lage,1210739,Marzahn - Hellersdorf,Entire home/apt,130,3
19861181,Charming spacious room,9678621,Friedrichshain-Kreuzberg,Private room,27,5
19861806,Gemütliches Zimmer in Tempelhof,88971316,Tempelhof - Schöneberg,Private room,14,7
19863635,Bright 2 bedroom apartment in Prenzlauer Berg,140494435,Pankow,Entire home/apt,109,30
19867118,Quiet room in shared apartment next to Südstern,13249278,Neukölln,Private room,35,5
19867174,Charmanter Berliner Altbau mit großer Wohnküche,11645499,Mitte,Entire home/apt,90,2
19867239,BEST DEAL! heart of Berlin big space Low price,18882237,Mitte,Entire home/apt,69,4
19867630,"SUNNY ALTBAU APARTMENT,  KREUZBERG",2331454,Friedrichshain-Kreuzberg,Entire home/apt,85,3
19867859,"kleines gemütliches Zimmerchen in Moabit, Altbau",71004543,Mitte,Private room,40,2
19868563,Cool Apartment in the lively HEART OF BERLIN :),9139510,Mitte,Private room,40,3
19869231,QUIET and BRIGHT BEDROOM with GREEN VIEW near park,47779542,Mitte,Private room,30,1
19871453,Attraktives Zimmer im grünen Frohnau,127723336,Reinickendorf,Private room,19,1
19872236,Cozy Apartment Central friedrichshain Simon Dach,123824818,Friedrichshain-Kreuzberg,Entire home/apt,50,2
19872379,Helle & Große Wohnung in Berlin Mitte,111764186,Mitte,Private room,90,5
19873435,Large bright room in hip area of northern Neukölln,114485772,Neukölln,Private room,40,3
19875974,Heart of Neukölln,140633664,Neukölln,Entire home/apt,17,3
19881350,sehr schönes Zimmer mit Ausblick und eigenem Bad,12413959,Charlottenburg-Wilm.,Private room,34,3
19881355,"Zimmer am Nollendorfplatz, Schöneberg",76818245,Tempelhof - Schöneberg,Private room,20,1
19881575,"Big Sunny Room in Friedrichshain, Central",5844161,Friedrichshain-Kreuzberg,Private room,37,2
19881847,WG-Zimmer am Volkspark Fhain(Room in 3-RoomFlat),30834036,Pankow,Private room,23,3
19882811,"DG,Terrasse, Berlin-Mitte,sehr ruhig",33912755,Mitte,Private room,95,2
19883918,150 m² Apartment Heart Of Berlin,34457259,Mitte,Entire home/apt,96,2
19884335,Room in Schillerkiez tempelhofer feld,8840254,Neukölln,Private room,20,7
19884446,Lovely room near the the centre of Berlin!,63825124,Mitte,Private room,34,5
19884483,Sonniges Zimmer im Neuköllner Loft,140734566,Neukölln,Private room,19,3
19884951,"Nice room & sunny terrace in Humboldthain, Mitte",121629802,Mitte,Private room,50,2
19885029,"Super ""Altbauwohnung"" Berlin Pankow",140739823,Pankow,Entire home/apt,210,3
19885212,1 BIG & COSY ROOM -   Heart of Prenzlauer Berg,10331479,Pankow,Private room,99,3
19885249,Zimmer einer bunten Wohnung in Wedding,27372962,Mitte,Private room,22,3
19886531,Classy and Quiet Apartment in Prenzlauerberg,8553872,Pankow,Entire home/apt,74,29
19886648,"Central, beautiful, clean flat for a perfect stay!",804563,Friedrichshain-Kreuzberg,Entire home/apt,90,2
19888787,Ruhige 1-Zimmer Wohnung im Wedding,76562028,Mitte,Entire home/apt,30,4
19895860,Bright and quiet room in 1900s Berliner Altbau,9361218,Tempelhof - Schöneberg,Private room,33,7
19896033,Attic Apartment with roof terrace,11208932,Tempelhof - Schöneberg,Entire home/apt,100,3
19898333,"Großes , helles Künstlerzimmer am Mauerpark 24qm",14828073,Pankow,Private room,18,3
19898362,Stunning flat at the heart of Kreuzberg,11384681,Friedrichshain-Kreuzberg,Entire home/apt,105,2
19899369,"bright, cozy home",31024730,Mitte,Private room,20,4
19899648,Beautiful and spacious private room with balcony,140901495,Neukölln,Private room,22,2
19900357,Cozy room close to Mauerpark,4831236,Mitte,Private room,50,3
19901800,Charming Pre-War Apartment w/ Balcony (Graefekiez),1612674,Friedrichshain-Kreuzberg,Entire home/apt,93,21
